Age,Workclass,Education,Marital-status,Occupation,Gender,Capital-gain,Capital-loss,Hours-per-Week,Country,Income
39,Government, Bachelors,Never-married, Adm-clerical, Male,2174,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors,Married, Exec-managerial, Male,0,0,13, United-States, <=50K
38, Private, HS-grad,Divorced, Handlers-cleaners, Male,0,0,40, United-States, <=50K
53, Private, 11th,Married, Handlers-cleaners, Male,0,0,40, United-States, <=50K
28, Private, Bachelors,Married, Prof-specialty, Female,0,0,40, Cuba, <=50K
37, Private, Masters,Married, Exec-managerial, Female,0,0,40, United-States, <=50K
49, Private, 9th,Married, Other-service, Female,0,0,16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad,Married, Exec-managerial, Male,0,0,45, United-States, >50K
31, Private, Masters,Never-married, Prof-specialty, Female,14084,0,50, United-States, >50K
42, Private, Bachelors,Married, Exec-managerial, Male,5178,0,40, United-States, >50K
37, Private, Some-college,Married, Exec-managerial, Male,0,0,80, United-States, >50K
30,Government, Bachelors,Married, Prof-specialty, Male,0,0,40, India, >50K
23, Private, Bachelors,Never-married, Adm-clerical, Female,0,0,30, United-States, <=50K
32, Private, Assoc-acdm,Never-married, Sales, Male,0,0,50, United-States, <=50K
40, Private, Assoc-voc,Married, Craft-repair, Male,0,0,40, ?, >50K
34, Private, 7th-8th,Married, Transport-moving, Male,0,0,45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad,Never-married, Farming-fishing, Male,0,0,35, United-States, <=50K
32, Private, HS-grad,Never-married, Machine-op-inspct, Male,0,0,40, United-States, <=50K
38, Private, 11th,Married, Sales, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Masters,Divorced, Exec-managerial, Female,0,0,45, United-States, >50K
40, Private, Doctorate,Married, Prof-specialty, Male,0,0,60, United-States, >50K
54, Private, HS-grad,Divorced, Other-service, Female,0,0,20, United-States, <=50K
35,Government, 9th,Married, Farming-fishing, Male,0,0,40, United-States, <=50K
43, Private, 11th,Married, Transport-moving, Male,0,2042,40, United-States, <=50K
59, Private, HS-grad,Divorced, Tech-support, Female,0,0,40, United-States, <=50K
56,Government, Bachelors,Married, Tech-support, Male,0,0,40, United-States, >50K
19, Private, HS-grad,Never-married, Craft-repair, Male,0,0,40, United-States, <=50K
54, ?, Some-college,Married, ?, Male,0,0,60, South, >50K
39, Private, HS-grad,Divorced, Exec-managerial, Male,0,0,80, United-States, <=50K
49, Private, HS-grad,Married, Craft-repair, Male,0,0,40, United-States, <=50K
23,Government, Assoc-acdm,Never-married, Protective-serv, Male,0,0,52, United-States, <=50K
20, Private, Some-college,Never-married, Sales, Male,0,0,44, United-States, <=50K
45, Private, Bachelors,Divorced, Exec-managerial, Male,0,1408,40, United-States, <=50K
30,Government, Some-college,Married, Adm-clerical, Male,0,0,40, United-States, <=50K
22,Government, Some-college,Married, Other-service, Male,0,0,15, United-States, <=50K
48, Private, 11th,Never-married, Machine-op-inspct, Male,0,0,40, Puerto-Rico, <=50K
21, Private, Some-college,Never-married, Machine-op-inspct, Male,0,0,40, United-States, <=50K
19, Private, HS-grad,Married, Adm-clerical, Female,0,0,25, United-States, <=50K
31, Private, Some-college,Married, Sales, Male,0,0,38, ?, >50K
48, Self-emp-not-inc, Assoc-acdm,Married, Prof-specialty, Male,0,0,40, United-States, <=50K
31, Private, 9th,Married, Machine-op-inspct, Male,0,0,43, United-States, <=50K
53, Self-emp-not-inc, Bachelors,Married, Prof-specialty, Male,0,0,40, United-States, <=50K
24, Private, Bachelors,Married, Tech-support, Male,0,0,50, United-States, <=50K
49, Private, HS-grad,Divorced, Adm-clerical, Female,0,0,40, United-States, <=50K
25, Private, HS-grad,Never-married, Handlers-cleaners, Male,0,0,35, United-States, <=50K
57,Government, Bachelors,Married, Prof-specialty, Male,0,0,40, United-States, >50K
53, Private, HS-grad,Married, Machine-op-inspct, Male,0,0,38, United-States, <=50K
44, Private, Masters,Divorced, Exec-managerial, Female,0,0,40, United-States, <=50K
41,Government, Assoc-voc,Married, Craft-repair, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc,Never-married, Prof-specialty, Male,0,0,43, United-States, <=50K
25, Private, Some-college,Married, Exec-managerial, Female,0,0,40, United-States, <=50K
18, Private, HS-grad,Never-married, Other-service, Female,0,0,30, ?, <=50K
47, Private, Prof-school,Married, Prof-specialty, Female,0,1902,60, Honduras, >50K
50,Government, Bachelors,Divorced, Exec-managerial, Male,0,0,55, United-States, >50K
47, Self-emp-inc, HS-grad,Divorced, Exec-managerial, Male,0,0,60, United-States, <=50K
43, Private, Some-college,Married, Tech-support, Male,0,0,40, United-States, >50K
46, Private, 5th-6th,Married, Machine-op-inspct, Male,0,0,40, Mexico, <=50K
35, Private, Assoc-voc,Married, Other-service, Male,0,0,40, Puerto-Rico, <=50K
41, Private, HS-grad,Married, Adm-clerical, Male,0,0,48, United-States, <=50K
30, Private, HS-grad,Married, Machine-op-inspct, Male,5013,0,40, United-States, <=50K
30, Private, Bachelors,Married, Sales, Male,2407,0,40, United-States, <=50K
32, ?, 7th-8th,Married, ?, Male,0,0,40, ?, <=50K
48, Private, HS-grad,Married, Transport-moving, Male,0,0,40, United-States, <=50K
42, Private, Doctorate,Married, Prof-specialty, Male,0,0,45, United-States, >50K
29, Private, Some-college,Divorced, Tech-support, Male,0,0,58, United-States, <=50K
36, Private, HS-grad,Married, Craft-repair, Male,0,0,40, United-States, <=50K
28, Private, Some-college,Divorced, Adm-clerical, Female,0,0,40, United-States, <=50K
53, Private, HS-grad,Married, Adm-clerical, Female,0,0,40, United-States, >50K
